WordCount completed.
Elapsed time: 0.0130108 s

WORD	OCCURENCES
====	==========
Aenean	45
Aliquam	44
Class	4
Cras	33
Curabitur	29
Donec	79
Duis	35
Etiam	38
Fusce	37
In	47
Integer	40
Interdum	5
Lorem	5
Maecenas	35
Mauris	39
Morbi	38
Nam	37
Nulla	47
Nullam	35
Nunc	29
Orci	11
Pellentesque	38
Phasellus	40
Praesent	33
Proin	47
Quisque	46
Sed	78
Suspendisse	51
Ut	42
Vestibulum	46
Vivamus	35
a	109
ac	127
accumsan	29
ad	4
adipiscing	5
aliquam	43
aliquet	32
amet	122
ante	78
aptent	4
arcu	55
at	120
auctor	37
augue	76
bibendum	37
blandit	32
commodo	44
condimentum	37
congue	44
consectetur	50
consequat	37
conubia	4
convallis	38
cubilia	9
curae	9
cursus	34
dapibus	31
diam	49
dictum	44
dictumst	9
dignissim	50
dis	11
dolor	55
dui	50
efficitur	44
egestas	45
eget	110
eleifend	46
elementum	43
elit	64
enim	68
erat	66
eros	56
est	56
et	142
eu	101
euismod	41
ex	56
facilisi	9
facilisis	34
fames	9
faucibus	59
felis	64
fermentum	41
feugiat	37
finibus	42
fringilla	37
gravida	47
habitant	4
habitasse	9
hac	9
hendrerit	38
himenaeos	4
iaculis	40
id	104
imperdiet	33
in	134
inceptos	4
interdum	47
ipsum	72
justo	59
lacinia	30
lacus	68
laoreet	52
lectus	61
leo	48
libero	56
ligula	46
litora	4
lobortis	52
lorem	58
luctus	46
magna	49
magnis	11
malesuada	69
massa	67
mattis	48
mauris	56
maximus	35
metus	56
mi	74
molestie	42
mollis	26
montes	11
morbi	4
mus	11
nascetur	11
natoque	11
nec	93
neque	55
netus	4
nibh	46
nisi	52
nisl	55
non	108
nostra	4
nulla	65
nunc	71
odio	70
orci	62
ornare	36
parturient	11
pellentesque	50
penatibus	11
per	8
pharetra	33
placerat	43
platea	9
porta	46
porttitor	44
posuere	49
potenti	5
pretium	29
primis	14
pulvinar	46
purus	71
quam	52
quis	123
rhoncus	36
ridiculus	11
risus	58
rutrum	27
sagittis	35
sapien	52
scelerisque	54
sed	136
sem	57
semper	38
senectus	4
sit	122
sociosqu	4
sodales	40
sollicitudin	53
suscipit	40
taciti	4
tellus	55
tempor	54
tempus	44
tincidunt	95
torquent	4
tortor	56
tristique	44
turpis	82
ullamcorper	46
ultrices	51
ultricies	52
urna	54
ut	88
varius	51
vehicula	43
vel	107
velit	57
venenatis	40
vestibulum	39
vitae	102
viverra	45
volutpat	37
vulputate	49

Total words count: 9090
